2025-08-30 10:03:12 |  WARNING | ⚠️  Error extrayendo propiedad 10: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:12 |  WARNING | ⚠️  Error extrayendo propiedad 11: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:12 |  WARNING | ⚠️  Error extrayendo propiedad 12: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:12 |  WARNING | ⚠️  Error extrayendo propiedad 13: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:12 |  WARNING | ⚠️  Error extrayendo propiedad 14: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:12 |  WARNING | ⚠️  Error extrayendo propiedad 15: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:12 |  WARNING | ⚠️  Error extrayendo propiedad 16: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:12 |  WARNING | ⚠️  Error extrayendo propiedad 17: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:12 |  WARNING | ⚠️  Error extrayendo propiedad 18: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:12 |  WARNING | ⚠️  Error extrayendo propiedad 19: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:12 |  WARNING | ⚠️  Error extrayendo propiedad 20: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:12 |  WARNING | ⚠️  Error extrayendo propiedad 21: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:12 |  WARNING | ⚠️  Error extrayendo propiedad 22: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:12 |  WARNING | ⚠️  Error extrayendo propiedad 23: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:12 |  WARNING | ⚠️  Error extrayendo propiedad 24: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:12 |  WARNING | ⚠️  Error extrayendo propiedad 25: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:12 |  WARNING | ⚠️  Error extrayendo propiedad 26: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:12 |  WARNING | ⚠️  Error extrayendo propiedad 27: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:12 |     INFO | ✅ Extraídas 0 propiedades válidas
2025-08-30 10:03:12 |     INFO | 📊 Progreso - Página: 4 | Propiedades: 0 | Total: 0 | Tiempo: 8.8s/página
2025-08-30 10:03:16 |     INFO | 📄 Procesando página 5: https://www.inmuebles24.com/departamentos-en-venta-en-zapopan.html?pagina=5
2025-08-30 10:03:21 |     INFO | ✅ Página cargada correctamente - 27 propiedades detectadas
2025-08-30 10:03:21 |     INFO | 🏠 Encontrados 27 property cards en la página
2025-08-30 10:03:21 |  WARNING | ⚠️  Error extrayendo propiedad 1: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:21 |  WARNING | ⚠️  Error extrayendo propiedad 2: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:21 |  WARNING | ⚠️  Error extrayendo propiedad 3: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:21 |  WARNING | ⚠️  Error extrayendo propiedad 4: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:21 |  WARNING | ⚠️  Error extrayendo propiedad 5: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:21 |  WARNING | ⚠️  Error extrayendo propiedad 6: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:21 |  WARNING | ⚠️  Error extrayendo propiedad 7: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:21 |  WARNING | ⚠️  Error extrayendo propiedad 8: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:21 |  WARNING | ⚠️  Error extrayendo propiedad 9: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:21 |  WARNING | ⚠️  Error extrayendo propiedad 10: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:21 |  WARNING | ⚠️  Error extrayendo propiedad 11: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:21 |  WARNING | ⚠️  Error extrayendo propiedad 12: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:21 |  WARNING | ⚠️  Error extrayendo propiedad 13: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:21 |  WARNING | ⚠️  Error extrayendo propiedad 14: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:21 |  WARNING | ⚠️  Error extrayendo propiedad 15: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:21 |  WARNING | ⚠️  Error extrayendo propiedad 16: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:21 |  WARNING | ⚠️  Error extrayendo propiedad 17: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:21 |  WARNING | ⚠️  Error extrayendo propiedad 18: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:21 |  WARNING | ⚠️  Error extrayendo propiedad 19: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:21 |  WARNING | ⚠️  Error extrayendo propiedad 20: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:21 |  WARNING | ⚠️  Error extrayendo propiedad 21: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:21 |  WARNING | ⚠️  Error extrayendo propiedad 22: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:21 |  WARNING | ⚠️  Error extrayendo propiedad 23: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:21 |  WARNING | ⚠️  Error extrayendo propiedad 24: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:21 |  WARNING | ⚠️  Error extrayendo propiedad 25: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:21 |  WARNING | ⚠️  Error extrayendo propiedad 26: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:21 |  WARNING | ⚠️  Error extrayendo propiedad 27: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:21 |     INFO | ✅ Extraídas 0 propiedades válidas
2025-08-30 10:03:21 |  WARNING | ⚠️  Sin propiedades por 5 páginas consecutivas. Posible fin de resultados.
2025-08-30 10:03:24 |  WARNING | ⚠️  No hay datos para guardar
2025-08-30 10:03:24 |     INFO | ======================================================================
2025-08-30 10:03:24 |     INFO | 🎉 SCRAPING COMPLETADO EXITOSAMENTE
2025-08-30 10:03:24 |     INFO | 📊 Páginas procesadas: 4
2025-08-30 10:03:24 |     INFO | 🏠 Propiedades encontradas: 0
2025-08-30 10:03:24 |     INFO | ❌ Errores: 0
2025-08-30 10:03:24 |     INFO | ⏱️  Tiempo total: 0:00:47.180640
2025-08-30 10:03:24 |     INFO | ⚡ Promedio por página: 11.8s
2025-08-30 10:03:24 |     INFO | ✅ Tasa de éxito: 100.0%
2025-08-30 10:03:24 |     INFO | ======================================================================
